name,rating,review_count,quality_score,phone,address,website,category,business_status,google_place_id
Results,4.0,0,85,+84 986 867 548 ,"Address: 31 Nguyễn Thiện Thuật, Phường 14, Bình Thạnh, Thành phố Hồ Chí Minh, Vietnam ",https://www.foody.vn/ho-chi-minh/green-coffee-nguyen-thien-thuat,Coffee shop,,coffee+shop+in+Ho+Chi+Minh+City
Results,4.0,0,85,+84 919 000 195 ,"Address: 87 Võ Thị Sáu, Phường 6, Quận 3, Thành phố Hồ Chí Minh, Vietnam ",https://lagomcafe.vn/,Cafe,,coffee+shop+in+Ho+Chi+Minh+City
Results,4.0,0,85,+84 765 871 669 ,"Address: 64Bis Nguyễn Thị Minh Khai, Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Vietnam ",https://www.facebook.com/Little-Cam-S%C3%A0i-G%C3%B2n-100356958838797/,Coffee shop,,coffee+shop+in+Ho+Chi+Minh+City
Results,4.0,0,85,+84 904 606 157 ,"Address: 60/1 Lê Thị Riêng, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 10000, Vietnam ",https://instagram.com/little_cam_saigon,Coffee shop,,coffee+shop+in+Ho+Chi+Minh+City
Results,4.0,0,85,+84 904 413 148 ,"Address: 95 Nguyễn Văn Thủ, Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Vietnam ",https://linktr.ee/VintageEmporiumDaKao,Cafe,,coffee+shop+in+Ho+Chi+Minh+City
Results,4.0,0,85,+84 28 7308 4899 ,"Address: 177 Phan Xích Long, Phường 7, Phú Nhuận, Thành phố Hồ Chí Minh, Vietnam ",https://www.ampersand.vn/therunningbeansg,Cafe,,coffee+shop+in+Ho+Chi+Minh+City
Results,4.0,0,85,+84 981 063 880 ,"Address: 39 Lê Văn Miến, Street, Quận 2, Thành phố Hồ Chí Minh 700000, Vietnam ",https://www.instagram.com/cafe.slow/,Coffee shop,,coffee+shop+in+Ho+Chi+Minh+City
Results,4.0,0,85,+84 937 993 000 ,"Address: 87 Nguyễn Du, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 70000, Vietnam ",https://www.instagram.com/p/C1tFI-WPl5w/,Coffee shop,,coffee+shop+in+Ho+Chi+Minh+City
Results,4.0,0,85,+84 961 898 942 ,"Address: 8-10 Hoa Trà, Ward 7, Phú Nhuận, Thành phố Hồ Chí Minh, Vietnam ",http://purrfectcoffee.vn/,Cafe,,coffee+shop+in+Ho+Chi+Minh+City
Results,4.0,0,85,+84 28 2253 4350 ,"Address: Saigon Pearl, Bình Thạnh, Ho Chi Minh City, Vietnam ",https://www.facebook.com/ucc.coffee.roastery/,Coffee shop,,coffee+shop+in+Ho+Chi+Minh+City
